pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
629713272,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.12_false-termination.c,17270788,AProVE23,45560,c,749009,complete,14.170748,5.077153842896223,0.0,NO
629713273,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.12_false-termination.c,17270788,UltimateAutomizer2023,47463,default,790100,complete,19.688343,8.128735439153388,0.0,NO
629713018,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c,17270534,AProVE23,45560,c,749009,complete,20.343365,6.494188629090786,0.0,YES
629713019,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.13_true-termination.c,17270534,UltimateAutomizer2023,47463,default,790100,complete,21.096546,9.349155082833022,0.0,YES
629713580,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.14_false-termination.c,17271091,AProVE23,45560,c,749009,complete,15.869732,6.223632025998086,0.0,NO
629713581,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.14_false-termination.c,17271091,UltimateAutomizer2023,47463,default,790100,complete,20.40307,7.90256436704658,0.0,NO
629713230,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.15_false-termination.c,17270748,AProVE23,45560,c,749009,complete,11.312118,4.771477140020579,0.0,NO
629713231,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.15_false-termination.c,17270748,UltimateAutomizer2023,47463,default,790100,complete,23.169693,9.621946025174111,0.0,NO
629713326,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.16_true-termination.c,17270843,AProVE23,45560,c,749009,complete,9.552585,3.199386155931279,0.0,YES
629713327,C/Stroeder_15/ChenFlurMukhopadhyay-SAS2012-Ex2.16_true-termination.c,17270843,UltimateAutomizer2023,47463,default,790100,complete,23.647414,12.242259802063929,0.0,YES
